weibo_id,weibo_text,keyword,user_gender,user_location,user_following,user_follower,weibo_like,weibo_repost,weibo_comment,weibo_date
H870uCZJN,【#MeToo一周年#：女性的处境变好了吗？】去年年末，一场反性侵的女性平权运动席卷全球。世界各地的女性打着“#MeToo#”的标签，讲述着自己受到的性侵犯或性骚扰经历。在这一运动被拉下马的，不仅有神通广大的行业大佬，也有权高位重的达官显贵。与其说它关于性，不如说关于权力。一年过去了，“#MeToo#”运动带来了什么样的变化？女性的处境有没有变好？ http://t.cn/E4qV1KV ,性骚扰,男,北京,2373,42627278,172,207,138,20/12/2018 16:08
FbqAJu34X,我实在无法理解那些女权婊的思维。设个女性车厢说是歧视，是社会在倒退。试衣间惊现偷拍人日发文各种识别摄像头的方法和提高安全性的办法，提醒女生多加留意，又在留言那里骂凭什么提醒女性小心为啥不是惩处犯罪的人好气哦。那你们就气死去吧。活该活成男权社会附属品。把社会的善良和温暖硬生生用自己狭隘的思想解读成恶意，还自诩为女性发声为平等努力。两性社会都存在这么多可笑愚蠢的事情，同性的平权运动道路那更是漫漫远兮。独立和自由，就是在这些细小的人文关怀中生长起来的啊。难道还能在那些狗屁的各种婊中开出花来不成？ ,女权,女,广东,246,189,3,1,2,08/07/2017 14:02
IhRGQBlwT,A男：“男人都都喜欢年轻漂亮的女人，很正常，这是天性。”B女：“嗯，女人也喜欢年轻漂亮的男人。”A男：“是吗？我觉得你们女人都更喜欢有钱的吧。”B女：“那应该是穷得走投无路了的女人吧。那她就是喜欢钱而已，又不是喜欢有钱的男人。”C男（打圆场）：“嗯，我也觉得拜金的女人没那么多，还是花痴得比较多吧，就知道看脸。”B女：“男人喜欢年轻漂亮的女人就叫很正常的天性，女人喜欢年轻漂亮的男人就叫花痴？”群男：“田园女权？你怎么戾气这么重啊，是不是被男人伤过才这么仇恨男人的？”——真实对话，场面一度十分好笑。#不要跟男人讲道理#  ，因为当他讲不过你的时候，你就是田园女权了。 ,女权,女,其他,192,13688,46135,7888,921,25/11/2019 18:16
H4ZnYloq8,有的人真的是脑壳不转弯蛮？？？没有人支持家暴，没有人！！！！！那些说站蒋劲夫的就是支持家暴的，妈的我一女的还支持家暴我有病？？？打人错了，没有人反对，大家都觉得该怎样就怎样？关键让那女的有问题？？？不懂？？？看不出来？？？？请伪女权婊不要说话，难得回复。看着就脑壳疼╯▂╰ http://t.cn/z8A64zD 显示地图 ,女权,女,四川,1843,481,22,0,44,30/11/2018 03:13
J6ho9pevX,之前关注一个女博主，整天在那里发仇男厌男的微博，甚至男人和她说话她都觉得恶心。一口一个中华男儿鉴赏之类的话题。不过最近我发现她谈恋爱之后居然开始疯狂秀恩爱了？？一口一个我男朋友xxx……emmmmm总之她觉得香就行🌚  ,,女,上海,999,138376,302,10,93,12/06/2020 12:22
FF6XeAi5p,著名脱口秀主持人“蜜蜂姐”Samantha Bee抨击被指控不当性行为的《无为大师》男星阿兹·阿萨里：“如果你说自己是女权主义者，那就他X的表现出女权主义者的样子来。”她也谈到最近多起对MeToo活动的批评：“是的，对MeToo不可避免的反对浪潮已经来了。”并详述了自己对MeToo和反对浪潮的看法：http://t.cn/RQKTk39此事前情是阿萨里近日被匿名女摄影师指控性骚扰，女方称与他约会时被多次实施不当性行为，她数次暗示不愿意、不舒服，他没停手。阿萨里回应称双方是你情我愿。此事引起很大讨论，很多人认为按该女性说的，阿萨里并非性骚扰，更像“一次糟糕的约会”，不该混为一谈。法律节目名嘴Ashleigh Banfield也持此观点，她批评这名女摄影师的行为是在毁坏MeToo运动。女摄影师指控：http://t.cn/RQV0JNG阿萨里回应 ：http://t.cn/RQCHfhtAshleigh Banfield批评： http://t.cn/RQCHfh5而Bee在自己的节目详述此事。她指出：现在，反对MeToo活动的浪潮来临了。并吐槽说过“现在好莱坞有一点witch hunt”的连姆·尼森：“你最成功的电影是关于女性过来寻求帮助而你相信她们的！当你的女儿说自己被绑架，难道你要说：‘你确定不是你要被绑的吗？我们不要毁掉一位无辜的绑架者的生活呀！’”她将对MeToo的反对浪潮称为YouTooLoud(你太大声了)活动，有一项是关于“媒体行业的烂男人”秘密清单：有女性贡献组起了一份名单，上面有一些她们认为做过性骚扰、强奸等不同的烂事的男性媒体人。但这份本是秘密流传、为让从业的女性警惕的名单却被公开，并引起很大的偏离原意的讨论，还有媒体想曝光名单作者。导致多名女性网友为了保护真正的作者，纷纷发推说“是我写的”。 Bee指出：“女性在过去4个月的MeToo运动所做的一切，目的都是为了保护其他女性！”而她表示，目前很多人的想法是“谁来保护男性？”她也称，很多女性并非是拎不清事情：“有人说：有人将强奸、骚扰、糟糕的约会混为一谈。实际上——没，有，人说它们性质是一样的！那份烂男人清单的名字并不叫做‘强奸犯，和我认为跟强奸犯一样恶劣的犯罪者’。”她认为即使不是强奸，女人仍有权利公开讨论让她们觉得不舒服的性行为，因为前提是大家都明白不同恶行之间的区别，并且是为了保护女性，而非谈论男性：“很多人不明白的是，不一定只是强奸那么严重的事才能毁掉你的生活，一件事也不是一定要严重到毁了你的生活才值得被拿出来谈论。任何形式的性骚扰或强迫都是不可接受的。所以女人到底他X应该做什么来保护自己？如果我们向媒体公开一个故事，我们就被说成是爱哭鬼、不顾一切地毁掉男性的事业。如果我们写一份秘密清单来保护彼此，我们就是喜欢在暗处传闲话的泼妇。男人真正不理解的是，这根本就无关他们！”Bee说：“这份秘密清单又不是《权力的游戏》里二丫的死亡名单，上面的人不会被一个青少年当面呵斥。虽然我肯定有一些变态是有这样的幻想。且很不幸的是，对MeToo的批评不但来自男性，也来自一些‘见多了’的女性。”接着她说到那名女性对阿萨里的指控，表示指控者被许多女性抨击，如Ashleigh Banfield的批评“你经历了一场糟糕的约会，而你没有离开，这个责任在你”。对此Bee说：“当你感到不舒服或害怕时，离开远比你想象的要难得多。”她也强调发声并非要终结阿萨里的事业：“很多人都在担心阿兹的职业生涯——没人尝试去终结它，因为，再说一次：我们清楚知道一个强奸犯、一个工作场所性骚扰者和阿兹·阿萨里是有区别的。但，我们遇到这三者中的任何一位，都可以感到不快。像我这种人，必须越过非常非常多的烂男人，来建造我们现在享受其中的这个世界。享受这个世界，部分意味着对性行为应该设定一个更高的标准，而不仅仅是‘不是强奸’。如果男性没有达到那个标准，女性应该可以对此进行谈论——尤其是如果那个男人写了一本书，专门讲如何痛快地嘿咻(阿萨里写的畅销书《现代罗曼史Modern Romance》)。如果这话听着很刺耳，我表示遗憾。但事实上你知道吗？我遗憾的事多了去了：我很遗憾，对那个‘媒体行业烂男人’清单，或别的我们保护自己不受男人伤害的方式，有人认为那是关于他们(呼应前面‘此事根本与男人无关’)；我很遗憾，你认为你能够决定我们能分享什么样的性体验，或者决定我们对自己被糟烂地对待后该如何反应；我很遗憾，这项是特别对男性说：我们‘获得尊重’的要求，让办公室文化变得‘不那么有趣和风骚’；我很遗憾，我们喋喋不休的讨论你做的那些事，即使‘那根本就不是强奸’。但听着：如果你不想在性行为过程中和你的伴侣感情协调一致，也许你就不应该‘办事’。我建议你用一个零钱包、一个装葡萄果冻的封口塑料袋自行解决吧？男人们，如果你说你是女权主义者，那就他X的表现出一个女权主义者的样子。如果你做不到，那就摘掉你那该死的别针(阿萨里在金球奖戴着有好莱坞反工作场合性骚扰活动Time's up标志的别针)，因为我们不是你的配饰。” ,"性骚扰,女权",女,北京,192,12854707,80,40,38,19/01/2018 19:12
J5oEXarp7,【普京反同性恋】普京：男人和女人的结合才是一个完整的家庭，关于一号父母二号父母，我之前已经说过，今天再次强调，只要我还是总统，我国不会有一二号父母，只会有爸爸妈妈的概念。#中国投票反对同性恋维权组织#   <username> 杨六郎微博VV的微博视频  ,女权,男,广东,935,4350,343,68,83,06/06/2020 17:02
GqEAOjwtO,【tvN时事综艺节目《外界通信》今日首播，将集中讨论女权·难民问题】tvN《外界通信》的正规放送将于今晚12点首播。这档节目是用第三者多国籍外媒视角来讨论韩国社会各种热点的综艺。将用比试播时更加深入的主题来向观众们展现各种视角。今日播出的正规1期的议题谈话主题就是在韩国社会炒的很热的“女权主义”。不仅在韩国，这也是全世界的话题。节目组不仅亲自前往世界各地采访当地市民，还采访了男性女权主义者和女性反女权主义者。节目将带我们了解美国、英国、法国等外国女权主义的历史和近日的热点。而今日节目的看点就是上述国家与韩国女权运动的比较。除此之外，本期节目的另一个热点就是最近韩国最大的话题“难民问题”。难民问题是最近引发韩国最大规模国民请愿的话题。节目将向我们揭晓这些难民因来韩国的理由，以及德国等积极制定难民收容政策国家的事例。tvN《外界通信》节目组表示“我们第一个主题选择了在世界上最热的‘女权主义’，因此可以比较一下外媒们（对这个问题）的多种视角。不仅如此，还请大家尽请期待新加入的MC金烔完的活跃表现。”【sportschosun】 原图 ,女权,女,海外,388,7556811,198,102,43,19/07/2018 16:00
IczHYxC8G,男人和母亲的关系是他和其他所有女人关系的原型，男人会把他对母亲的感受延续到其他女人身上。1.很容易被无助女人吸引的男人，是因为想拯救无助或不快乐的母亲。2.很容易对女人内疚的男人，需要处理的其实是对母亲的内疚。3.很容易对女人厌恶或者厌女症的男人，需要处理的是对母亲的愤怒。4.很容易在女人面前退行，心理上变成小孩，在女人身上投射的是对母爱的需要。在不快乐、抑郁或情绪不稳定母亲身边长大的男人基本都有上述心理的最少一种，有的男人可能同时具有这四种心理，对女人又想拯救又容易内疚又愤怒又想像依恋妈妈一样依恋女人。 ,厌女,男,山西,417,99233,230,114,81,21/10/2019 23:18
Icoc9ifRn,对待厌女的屌癌们“万物万事皆可女权/女拳”“出拳”之类的言论肯定就好了，为他们鼓掌。你们男拳通过吸血吃肉，否定、物化、羞辱、污名化、鞭笞、压迫、剥夺权利，剥夺生命等等建立了反人性的权力体系和性别统治奴役体系，千百年来对女性压制、束缚、摧残和不停地进行性别规训，将“万事万物”都“男拳”，女权想要打破奴役和改变困境当然要对你们所塑造的“万事万物”回应和出拳。没毛病。被触到一点既得利益和特权就上蹿下跳地怒骂攻击，展示了这种逻辑——“只有我奴役压迫你的份，换过来我就弄死你”，本质是在固有的性别秩序下强调性别的主体性和优越性，不允许本就具有巨大道德缺陷的父权框架被撼动。这也清晰展示出在以厌女为核心的性别二元制秩序和父权框架下，男性在自身性别的主体性、优越性、特权和群体团结被侵蚀时产生了深深的焦虑和强烈的恐慌。他们用他们定义的“平权”和所谓“真·女权”攻击女权，并创造“田园女权”对女权污名化，将其表述为“只享受权利，不承担义务”的形象，制造女性群体内部的对立分化。然而实际上，这里的“权利”指的是特定女性能够享受的父权红利，并非我们通常讨论的平等权利；“义务”指的其实是维系和服膺父权制的，成为他们定义的女性“应该”扮演的角色。很有趣的一点是，如果让这类男性定义评判他们的母亲，我想他们是无法逻辑自洽的。作为“成长在红旗下的”一代，我们秉持着revolution思维【联合起来】【反抗出拳】，多么合理啊。其实女权主义和平权运动其实也是在打破男性的枷锁，如何跳出父权思维，如何让男性理性地参与到女权中来，在抵抗和拆解父权制的同时如何建立新的文化架构，才是颠覆厌女文化的新的开端。 ,"厌女,女权",女,海外,999,2346,11,5,2,20/10/2019 17:59
ID26le0w3,关于星星事件的陈述，之所以会引起人们的反感或支持，一个重要的依据是将它当作一个怎样的故事进行叙述。哪怕星星在维权的过程中确实存在情绪反复、对鲍毓明的情感也存在起伏——但如果将此看做是一个女性在利用自己的身体操纵男性，因此认为星星的道德有瑕，就是彻头彻尾的厌女，这也是我无法接受这类叙述的根本原因。———因为说白了，这就是鲍毓明的叙述，也是鲍毓明的脱罪方式：鲍毓明在女孩十四岁的时候强迫了她，但是他无辜他可怜，因为他付出了感情付出了金钱，而女孩最后甩了他。然而事实的真正情况是怎样的呢？星星是家里的姐姐，下面还有一个弟弟，从小和爷爷生活，爷爷去世之后才和妈妈在一起，而她妈妈想甩掉她这个“包袱”。鲍毓明是主动设下这个圈套的：一个男性缺席的家庭、一个残疾人的母亲、一个贫困的家境，缺少任何一个要素，精通法律的鲍毓明都不会对星星下手。星星的苦难，成了厄运降临在她身上的原因。当星星第一次被迫与鲍毓明发生关系，她就不得不强迫自己去爱上、讨好鲍毓明，因为越是有着强烈贞操观念的女孩子越无法接受自己是被强暴的事实，和房思琪一样，如果不爱上强暴自己的人，她就再没有活下去的理由。而鲍毓明其实一步一步都将星星的未来都牢牢的纂在了手里：星星承认了强暴就承认了原生家庭的伤害，也就失去了退路，所以她无法承认。星星没有读书，和自己保持不正常关系越久，人格就越被打击，就越难回到正常校园中，也就越不得不依赖自己。十四岁的女孩不得不爱上强迫自己的人，四十岁的男人将这种不得不的“爱”当作自愿与自己免罪的证明与手段，这就是两个角度的叙述。星星会报警、会自残，恰好证明了她在这段关系中受到的痛苦，以及她希望获得外界拯救的信号。而在鲍毓明看来，星星的挣扎和报警，都是在向自己要求情感，要绑架自己。十四岁的女孩想要逃离，四十岁的男人以为逃离是贪婪的索取，这就是两个角度的叙述。一个十四岁的女孩被一个男性攫取了人生，她以为她除了继续下去没有别的路可走，而在鲍毓明看来，自己已经尽善尽美，已经给了结婚的承诺，现在强迫一个少女又有什么关系？一个十四岁女孩觉得自己的人生被毁掉了，一个四十岁的男人觉得自己可以是合格的丈夫与父亲，这就是两个角度的叙述。在星星的经历里，我们相信哪一个故事的版本，决定了我们以怎么样的方式看待女性：我们是否愿意抛开男权的话术与谎言，看到所谓十四岁女孩的反复，是男性将她设计到山穷水尽的绝路。我们是否愿意抛开男权的话术与谎言，看到所谓十四岁女孩的操纵，是男性将她视为欲望的投射，并罔顾人性的约束。我们是否愿意抛开男权的话术与谎言，看到所谓十四岁女孩的渴望，是男性故意的引诱，背后是脱罪的狡辩。我们是否愿意抛开男权的话术与谎言，看到所有这些房思琪的自愿背后，其实是不得不的痛苦。十四岁的女孩，绝不会打开潘多拉的魔盒，她只能一次次的被十四岁那年的经历摧毁。是男性将自己的摧毁包装成了爱，为洛丽塔的命运定下悲剧的基调。 她没有魔法，她在被伤害。 ,厌女,女,北京,1433,227407,10602,3831,458,12/04/2020 23:23
I2Dve9JCS,收到两封私信求助1 婚礼上，新郎的兄弟趁着闹洞房，乱摸伴娘的胸部，伴娘反抗，新娘低着头玩手机。上述内容被拍成视频，私信人看到视频后，认为新娘不厚道，这时候应该出面阻止，而不是假装没看到。然后，私信人被骂，说她是个田园女权，结婚是一辈子的大事儿，新娘怎么能破坏自己的婚礼balabala……私信人表示：我怎么就恶臭了？伴娘一般情况下不是新娘的朋友吗？你就看着自己朋友，被你老公的狐朋狗友欺负吗？这和女权有什么关系？这是做人的问题好吗？私信人问我，她说错了吗？我觉得私信人说的对……2 私信人爸爸是个烂赌鬼，欠下对他们家来说天文数字的巨额债务，同时还出轨。私信人妈妈，性格软弱，被他爸耍的滴溜溜转（此处没有任何受害者有罪论的意思，仅陈述事实），也欠下不少债务。私信人的爸爸，摆明了吃定母女，戒赌是不可能戒赌的，出轨是一定要出轨的。私信人问我怎么办？我建议：让你妈离婚，然后你带上你妈去个陌生的城市，你和你妈有手有脚有学历，饿不死的，慢慢的挣点儿钱，还你妈欠的钱，但是无论如何，一定要和你爸完全切割。私信人表示客观条件不允许，离开是不能离开的，切割估计也切割不了，她现在只想赚钱，甚至有想过去当失足妇女还债。她问大家：她现在在一个小县城，有什么兼职能让她养活她和她妈，负担所有日常开销，以保证她把本职工作的工资全部存起来还债。 ,女权,男,其他,589,1960125,5914,61,292,17/08/2019 14:34
Ga3pi0s8T,女性博主们该如何应对男权渣渣的攻击谩骂？渣渣们去攻击女权，污名化“田园女权”、“伪女权”“你们要活成什么样什么样才配谈女权”，女性朋友们都不用理，这是他们男权的一贯手法。你要按照他们说的去审视自身问题，你就上了他们大当，进了他们的圈套。他们一个个的不管活成啥样，哪怕一个一无是处吸爹妈血吃姐妹肉的屌丝，都有资格谈男权，他哪那么大脸要求女权怎样？他有啥资格要求女权咋样？难道凭一根屌？许多屌类就是这样迷之自信！对待这帮居心叵测的屌类的办法，就是他骂你啥，你一把接过，你说啥就是啥吧，然后再攻击对方。比如你这个伪女权……，那就坦然接过，或者：哦，那就当你是真女权吧。接过后，然后再攻击对方。好理解吧？对方扣大帽子的目的是干嘛？为了让你生气，那你就不要上他的当。你不生气他已经输了一半。你这个田园女权，看错了，我连田园女权都配不上，我无权无派。然后攻击！你拜金！对啊，金钱那么好的东西干嘛不拜？这不是跟你们男人学的吗？！你们男权拜了多少年了，然后举例男权的恶心事攻击他。男权的恶心事几千年来罄竹难书，找点恶心事骂他真是最容易的事，比如舔痔结驷，男人们为了权势金钱主动要求舔秦王的痔疮。现代的，比如堕女胎、杀女婴，求爱不成杀女人、吸爹妈姐妹血……男性的普遍的软肋，还有如下：雄性竞争很残酷，所有的雄性竞争失败者都会遭到嘲笑，所以男人普遍怕成为弱者，攻击特别奏效。软肋主要有：穷，丑，性能力差，没人要欢迎大家继续补充。 ,女权,女,山东,321,152292,115,96,123,01/04/2018 11:55
GE0gM7HlU,【美国掀起﻿反MeToo风暴：男性或成为不实控诉的牺牲品】自去年10月#MeToo风暴点燃以来，不少女性受到鼓舞指证性骚扰和暴力。但另一方面，由于并非所有指控都具有确凿实证，逐渐出现反向的抵抗风潮HimToo：有意见认为男性或成为不实控诉的牺牲品。但数据证明性侵指控中，只有2%到10%为虚假，有观点认为担心男性成为真正的受害者，这是贼喊捉贼，杞人忧天。http://t.cn/E7mhGRf 原图 ,性骚扰,男,香港,1873,5363684,27,13,8,15/10/2018 11:05
J1tT1oCjS,#深夜大明白#【科普：女权主义到底是什么？】在互联网上，凡是和两性问题有关的事件，都能见到大量围绕着女权主义的争吵，“直男癌”和“女权婊/田园女权”，也成了网友之间互相攻击的黑话。其实，不同流派的女权主义观点差异很大，如果你自认为是女权者或者反女权者，这个视频可能会让你重新思考自己的观点：<username> http://t.cn/A6AEs6j4 ,女权,男,北京,1925,29923505,3242,233,1372,11/05/2020 23:00
